公司名称,工商名称,公司网址,成立时间,地点,运营状态,行业,子行业,融资时间,轮次,融资金额,投资方,融资总额,估值,团队,公司简介,详细地址,公开电话,公开邮箱,笔记
识代运筹NowledgeData,陕西识代运筹信息科技股份有限公司,http://www.nowledgedata.com.cn,2011-03,陕西-西安,运营中,广告营销,整合营销传播,2016-05-17,新三板,未透露人民币,-,830万,未透露,李哲君:创始人及CEO,识代运筹NowledgeData是一家专注于对互联网，特别是社交网络的品牌口碑和舆情进行收集和分析的公司，为客户提供基于大数据的营销整合解决方案。,西安市高新区锦业一路29号龙旗科技园A座8层,029-89187094,,-
,,,,,,,,2014-10-14,战略投资,630万人民币,蓝色光标,,,,,,,,
,,,,,,,,2012-12-13,天使轮,200万人民币,经纬中国,,,,,,,,
品友互动,北京品友互动信息技术有限公司,http://www.ipinyou.com.cn,2009-04,北京-朝阳区,运营中,广告营销,广告技术,2016-11-01,新三板,未透露人民币,-,9.1亿,未透露,"黄晓南:创始人及CEO,谢鹏:联合创始人及SVP,沈学华:联合创始人及CTO,姚远:首席科学家",品友互动是一家数字广告技术服务提供商，为用户提供实时竞价广告（DSP）平台，依托实时竞价(RTB)架构和算法，提高数字广告产业链的效率和产能，并为用户提供数字广告定制服务。,,,,-
,,,,,,,,2015-12-03,D轮,5亿人民币,"深创投,歌华有线,中国移动(中移创新产业基金),九弦资本",,,,,,,,
,,,,,,,,2014-06-30,C轮,数千万美元,长江国弘,,,,,,,,
,,,,,,,,2013-01-15,B轮,2000万美元,"宽带资本CBC,盘古创富VANGOO,小村资本,富德创投,仁弘资本",,,,,,,,
,,,,,,,,2011-05-01,A轮,1000万美元,富德创投,,,,,,,,
,,,,,,,,2009-05-01,天使轮,数百万美元,-,,,,,,,,
云知声,北京云知声信息技术有限公司,http://www.unisound.com/,2012-06,北京-朝阳区,运营中,企业服务,行业信息化及解决方案,2018-07-19,C+轮,6亿人民币,"中金公司,建投华科",22.85亿,未透露,"梁家恩:CTO,黄伟:CEO,康恒:IOT副总裁",云知声是一家专注物联网人工智能服务，拥有世界顶尖智能语音技术的高新技术企业。云知声利用机器学习平台，在语音技术、语言技术、知识计算、大数据分析等领域构建了完整的人工智能技术图谱，同时云知声也是国内人工智能创业公司里实现商业化落地最好的公司之一，在家居，医疗，教育，车载市场均有建树。,北京市朝阳区太阳宫中路16号院1号楼冠捷大厦12层,010-62369899,zhangli@unisound.com,-
,,,,,,,,2018-05-11,C轮,1亿美元,"奇虎360,汉富控股,前海梧桐并购基金,中电健康基金",,,,,,,,
,,,,,,,,2017-08-17,战略投资,3亿人民币,-,,,,,,,,
,,,,,,,,2016-01-18,B+轮,数亿人民币,-,,,,,,,,
,,,,,,,,2014-12-18,B轮,5000万美元,"启明创投,高通Qualcomm Ventures",,,,,,,,
,,,,,,,,2013-10-13,A轮,1亿人民币,"启明创投,磐谷创投",,,,,,,,
,,,,,,,,2012-10-01,天使轮,1000万人民币,-,,,,,,,,
出门问问,上海羽扇智信息科技有限公司,http://chumenwenwen.com,2012-10,北京-海淀区,运营中,企业服务,行业信息化及解决方案,2017-04-06,D轮,1.8亿美元,-,15.83亿,未透露,李志飞:创始人及CEO,出门问问是市场上一家拥有自主语音识别、语义分析、垂直搜索技术的人工智能公司，也是Google的战略合作伙伴并得到了Google的投资。目前主要产品有智能手表操作系统Ticwear；智能手表Ticwacth；可穿戴移动支付Ticpay；车载后视镜Ticmirror和高级驾驶辅助系统Ticeye。,北京海淀区中关村大街19号新中关购物中心a座写字楼 9层/10层/11层,010-5617-7001,bd@mobvoi.com,-
,,,,,,,,2015-10-20,C轮,数千万美元,Google谷歌,,,,,,,,
,,,,,,,,2014-02-01,B轮,数千万美元,"红杉资本中国,SIG海纳亚洲",,,,,,,,
,,,,,,,,2013-06-01,A轮,数百万美元,红杉资本中国,,,,,,,,
,,,,,,,,2012-10-01,天使轮,数百万人民币,真格基金,,,,,,,,
